,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 高雄市５歲以上常住人口遷徙情形,,Table 20 Kaohsiung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 高雄市５歲以上常住人口遷徙情形,表２０,高雄市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Kaohsiung City Migration Status of the Resident Population,Table 20,Kaohsiung City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,林園區,30936,25167,3063,,1626,1052,28,Linyuan District
,大寮區,55675,44555,4006,,5024,1869,221,Daliao District
,大樹區,22913,17437,1457,,1789,1882,348,Dashu District
,大社區,17961,14381,915,,1682,807,176,Dashe District
,仁武區,46132,36532,3606,,4355,1358,281,Renwu District
,鳥松區,21328,16677,1331,,2306,888,126,Niaosong District
,岡山區,45363,38303,3218,,1883,1758,201,Gangshan District
,橋頭區,17686,15425,759,,1167,271,64,Qiaotou District
,燕巢區,22596,14403,1411,,3843,2496,443,Yanchao District
,田寮區,2308,2073,15,,151,69,0,Tianliao District
,阿蓮區,15391,12793,1082,,675,755,86,Alian District
,路竹區,25761,20321,2309,,1558,1046,527,Luzhu District
,湖內區,15473,12977,827,,854,651,164,Hunei District
,茄萣區,13334,11756,777,,302,487,12,Qieding District
,永安區,4993,4425,230,,211,91,36,Yong'an District
,彌陀區,8050,7243,404,,327,76,0,Mituo District
,梓官區,14855,13260,674,,760,161,0,Ziguan District
,旗山區,16348,12912,1341,,1064,1030,1,Qishan District
,美濃區,13049,11719,453,,634,220,23,Meinong District
,六龜區,3921,3449,190,,145,130,7,Liugui District
,甲仙區,1814,1605,92,,69,46,2,Jiaxian District
,杉林區,4183,3749,149,,168,112,5,Shanlin District
,內門區,6536,5011,443,,450,572,60,Neimen District
,茂林區,379,358,4,,6,11,0,Maolin District
,桃源區,905,818,37,,32,17,1,Taoyuan District
,那瑪夏區,736,651,40,,20,24,1,Namaxia District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 高雄市５歲以上常住人口遷徙情形（續完）,,Table 20 Kaohsiung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 高雄市５歲以上常住人口遷徙情形（續２）,表２０,高雄市,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Kaohsiung City Migration Status of the Resident Population,Table 20,Kaohsiung City,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,高雄市,1315846,1048209,111484,,97865,49164,9124,Kaohsiung City
,鹽埕區,11341,9250,636,,896,484,75,Yancheng District
,鼓山區,65506,49080,6681,,5941,3017,787,Gushan District
,左營區,96098,77586,8442,,6563,3016,491,Zuoying District
,楠梓區,97340,67906,11998,,9917,6411,1108,Nanzi District
,三民區,165242,132465,15459,,9570,6683,1065,Sanmin District
,新興區,22221,17995,1645,,1890,504,187,Xinxing District
,前金區,15141,11317,1217,,1829,593,185,Qianjin District
,苓雅區,79524,62824,6666,,6005,3310,719,Lingya District
,前鎮區,86103,71755,6733,,5844,1368,403,Qianzhen District
,旗津區,11163,9767,857,,339,166,34,Qijin District
,小港區,72390,54564,8510,,6013,3012,291,Xiaogang District
,鳳山區,171422,143065,13057,,11172,3341,787,Fengshan District
,林園區,29437,24243,3138,,1377,545,134,Linyuan District
,大寮區,56461,44094,4169,,5398,2521,279,Daliao District
,大樹區,21554,16644,1233,,1431,1783,463,Dashu District
,大社區,18664,14995,1108,,1867,609,85,Dashe District
,仁武區,46074,35677,4162,,5050,1000,185,Renwu District
,鳥松區,22872,17618,1551,,2760,819,124,Niaosong District
,岡山區,45916,38312,3626,,2345,1350,283,Gangshan District
,橋頭區,18304,15712,894,,1346,308,44,Qiaotou District
,燕巢區,19812,13283,1020,,2503,2655,351,Yanchao District
,田寮區,1971,1795,6,,116,54,0,Tianliao District
,阿蓮區,13587,11807,956,,433,356,35,Alian District
,路竹區,25019,19628,1910,,1721,1392,368,Luzhu District
,湖內區,16118,13076,868,,1213,787,174,Hunei District
,茄萣區,12406,10924,655,,249,529,49,Qieding District
,永安區,4888,4338,190,,283,49,28,Yong'an District
,彌陀區,8230,7326,491,,325,62,26,Mituo District
,梓官區,14717,12939,737,,853,161,27,Ziguan District
,旗山區,15492,12538,1221,,1060,618,55,Qishan District
,美濃區,13104,11600,679,,497,245,83,Meinong District
,六龜區,3673,3141,220,,170,126,16,Liugui District
,甲仙區,1771,1507,127,,78,52,7,Jiaxian District
,杉林區,3943,3443,165,,189,124,22,Shanlin District
,內門區,6283,4139,370,,558,1063,153,Neimen District
,茂林區,417,393,13,,4,7,0,Maolin District
,桃源區,920,830,30,,38,21,1,Taoyuan District
,那瑪夏區,722,633,44,,22,23,0,Namaxia District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
