﻿廠商名稱,廠商電話,縣市別代碼,地址-行政區域代碼,地址-村里,地址-街路門牌
兆基管理顧問股份有限公司,(06)2200022,67000,67000340,,文賢路一段300巷29號
大晟資產管理顧問股份有限公司,(06)2997373,67000,67000360,,永華路二段248號13樓之1
