,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 臺東縣有人經常居住住宅之使用情形,,Table 43 Taitung County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 臺東縣有人經常居住住宅之使用情形,表４３,臺東縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Taitung County Housing Usage of Occupied Housing Units,Table 43,Taitung County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,臺東縣,54099,49712,4387,,123,4031,233,Taitung County,,,,,,,
,臺東市,28686,26000,2686,,98,2525,63,Taitung City,,,,,,,
,成功鎮,3027,2871,156,,3,149,4,Chenggong Township,,,,,,,
,關山鎮,2056,1797,259,,4,250,5,Guanshan Township,,,,,,,
,卑南鄉,4479,4195,284,,0,233,51,Beinan Township,,,,,,,
,鹿野鄉,1995,1774,221,,0,197,24,Luye Township,,,,,,,
,池上鄉,1959,1817,142,,2,134,6,Chishang Township,,,,,,,
,東河鄉,1937,1853,84,,5,42,37,Donghe Township,,,,,,,
,長濱鄉,2130,2008,122,,0,122,0,Changbin Township,,,,,,,
,太麻里鄉,2679,2524,155,,4,115,36,Taimali Township,,,,,,,
,大武鄉,1208,1157,51,,2,43,6,Dawu Township,,,,,,,
,綠島鄉,489,371,118,,2,116,0,Lüdao Township,,,,,,,
,海端鄉,714,701,13,,0,13,0,Haiduan Township,,,,,,,
,延平鄉,561,553,8,,1,7,0,Yanping Township,,,,,,,
,金峰鄉,634,623,11,,0,11,0,Jinfeng Township,,,,,,,
,達仁鄉,702,675,27,,0,26,1,Daren Township,,,,,,,
,蘭嶼鄉,843,793,50,,2,48,0,Lanyu Township,,,,,,,
