,,民國109年,,,,,2020,,,,,,
,表３１ 臺東縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Taitung County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 臺東縣住戶數、常住人口數及平均每戶人口數,表３１,臺東縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Taitung County Number of Households, Resident Population and Average",Table 31,Taitung County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,臺東縣,71989,189452,2.6,71643,,176653,2.5,346,12799,37,Taitung County,
,臺東市,39434,106840,2.7,39295,,99912,2.5,139,6928,49.8,Taitung City,
,成功鎮,4104,9305,2.2999999999999998,4079,,9066,2.2000000000000002,25,239,9.6,Chenggong Township,
,關山鎮,2813,7463,2.7,2775,,6935,2.5,38,528,13.9,Guanshan Township,
,卑南鄉,6248,16789,2.7,6215,,14799,2.4,33,1990,60.3,Beinan Township,
,鹿野鄉,2724,7116,2.6,2720,,6640,2.4,4,476,119,Luye Township,
,池上鄉,2596,6071,2.2999999999999998,2568,,5921,2.2999999999999998,28,150,5.4,Chishang Township,
,東河鄉,2549,7376,2.9,2544,,5568,2.2000000000000002,5,1808,361.6,Donghe Township,
,長濱鄉,2181,4691,2.2000000000000002,2177,,4625,2.1,4,66,16.5,Changbin Township,
,太麻里鄉,3693,8621,2.2999999999999998,3681,,8519,2.2999999999999998,12,102,8.5,Taimali Township,
,大武鄉,1300,2846,2.2000000000000002,1292,,2789,2.2000000000000002,8,57,7.1,Dawu Township,
,綠島鄉,551,1913,3.5,524,,1630,3.1,27,283,10.5,Lüdao Township,
,海端鄉,736,2242,3,736,,2242,3,0,0,0,Haiduan Township,
,延平鄉,594,1750,2.9,594,,1750,2.9,0,0,0,Yanping Township,
,金峰鄉,759,2280,3,757,,2268,3,2,12,6,Jinfeng Township,
,達仁鄉,744,1695,2.2999999999999998,738,,1648,2.2000000000000002,6,47,7.8,Daren Township,
,蘭嶼鄉,963,2454,2.5,948,,2341,2.5,15,113,7.5,Lanyu Township,
