,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 臺東縣住宅之樓地板面積,,Table 39 Taitung County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 臺東縣住宅之樓地板面積,表３９,臺東縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Taitung County Total Floor Area of Housing Units,Table 39,Taitung County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,臺東縣,78293,15651,27760,,21434,12637,811,119.4,Taitung County,,
,臺東市,38448,5732,12579,,11992,7670,475,130,Taitung City,,
,成功鎮,5168,1011,1952,,1503,663,39,114.6,Chenggong Township,,
,關山鎮,3019,608,984,,859,542,26,122.8,Guanshan Township,,
,卑南鄉,7111,2194,2658,,1387,812,60,102.8,Beinan Township,,
,鹿野鄉,2799,504,1110,,713,422,50,119.5,Luye Township,,
,池上鄉,3071,656,1181,,814,388,32,113.5,Chishang Township,,
,東河鄉,3406,928,1319,,773,359,27,105.1,Donghe Township,,
,長濱鄉,3165,542,1241,,785,568,29,120.4,Changbin Township,,
,太麻里鄉,4160,1089,1431,,1072,536,32,110.3,Taimali Township,,
,大武鄉,2385,873,883,,454,170,5,91.6,Dawu Township,,
,綠島鄉,625,222,267,,86,38,12,93.2,Lüdao Township,,
,海端鄉,993,174,467,,231,118,3,109.7,Haiduan Township,,
,延平鄉,808,204,380,,156,63,5,100.7,Yanping Township,,
,金峰鄉,839,205,380,,172,76,6,103.4,Jinfeng Township,,
,達仁鄉,1115,389,430,,194,100,2,93.1,Daren Township,,
,蘭嶼鄉,1181,320,498,,243,112,8,102.6,Lanyu Township,,
