,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 臺東縣住宅使用情形,,Table 37 Taitung County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 臺東縣住宅使用情形,表３７,臺東縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Taitung County Housing Usage Status,Table 37,Taitung County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,臺東縣,78293,54099,24194,,6862,3120,14212,Taitung County,,,,,
,臺東市,38448,28686,9762,,1374,1654,6734,Taitung City,,,,,
,成功鎮,5168,3027,2141,,936,100,1105,Chenggong Township,,,,,
,關山鎮,3019,2056,963,,240,216,507,Guanshan Township,,,,,
,卑南鄉,7111,4479,2632,,685,143,1804,Beinan Township,,,,,
,鹿野鄉,2799,1995,804,,282,162,360,Luye Township,,,,,
,池上鄉,3071,1959,1112,,403,168,541,Chishang Township,,,,,
,東河鄉,3406,1937,1469,,502,193,774,Donghe Township,,,,,
,長濱鄉,3165,2130,1035,,658,50,327,Changbin Township,,,,,
,太麻里鄉,4160,2679,1481,,600,224,657,Taimali Township,,,,,
,大武鄉,2385,1208,1177,,451,123,603,Dawu Township,,,,,
,綠島鄉,625,489,136,,47,8,81,Lüdao Township,,,,,
,海端鄉,993,714,279,,76,0,203,Haiduan Township,,,,,
,延平鄉,808,561,247,,114,1,132,Yanping Township,,,,,
,金峰鄉,839,634,205,,104,6,95,Jinfeng Township,,,,,
,達仁鄉,1115,702,413,,182,31,200,Daren Township,,,,,
,蘭嶼鄉,1181,843,338,,208,41,89,Lanyu Township,,,,,
