,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 苗栗縣住宅使用情形,,Table 37 Miaoli County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 苗栗縣住宅使用情形,表３７,苗栗縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Miaoli County Housing Usage Status,Table 37,Miaoli County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,苗栗縣,190106,145723,44383,,11626,7289,25468,Miaoli County,,,,,
,苗栗市,33611,25612,7999,,1875,1912,4212,Miaoli City,,,,,
,苑裡鎮,15154,11289,3865,,1077,395,2393,Yuanli Township,,,,,
,通霄鎮,9758,7288,2470,,932,183,1355,Tongxiao Township,,,,,
,竹南鎮,32188,24728,7460,,1239,890,5331,Zhunan Township,,,,,
,頭份市,38304,31549,6755,,1143,920,4692,Toufen City,,,,,
,後龍鎮,11966,8331,3635,,1037,571,2027,Houlong Township,,,,,
,卓蘭鎮,5151,4045,1106,,547,266,293,Zhuolan Township,,,,,
,大湖鄉,4371,3139,1232,,511,136,585,Dahu Township,,,,,
,公館鄉,10668,8374,2294,,734,439,1121,Gongguan Township,,,,,
,銅鑼鄉,5636,4589,1047,,402,99,546,Tongluo Township,,,,,
,南庄鄉,3282,2140,1142,,366,240,536,Nanzhuang Township,,,,,
,頭屋鄉,3294,2516,778,,363,126,289,Touwu Township,,,,,
,三義鄉,5648,3949,1699,,346,820,533,Sanyi Township,,,,,
,西湖鄉,1947,1389,558,,219,54,285,Xihu Township,,,,,
,造橋鄉,4250,3380,870,,201,144,525,Zaoqiao Township,,,,,
,三灣鄉,1960,1359,601,,234,44,323,Sanwan Township,,,,,
,獅潭鄉,1556,944,612,,267,41,304,Shitan Township,,,,,
,泰安鄉,1362,1102,260,,133,9,118,Tai'an Township,,,,,
