,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 苗栗縣５歲以上常住人口遷徙情形,,Table 20 Miaoli County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 苗栗縣５歲以上常住人口遷徙情形,表２０,苗栗縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Miaoli County Migration Status of the Resident Population,Table 20,Miaoli County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Miaoli County Migration Status of the Resident Population,Table 20,Miaoli County,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,苗栗縣,236025,197788,17004,,8705,11255,1273,Miaoli County
,苗栗市,42202,33597,4188,,1652,2574,191,Miaoli City
,苑裡鎮,17955,15833,1349,,203,553,17,Yuanli Township
,通霄鎮,11828,10536,638,,310,298,46,Tongxiao Township
,竹南鎮,42451,33157,4113,,2454,2478,249,Zhunan Township
,頭份市,49122,41296,3817,,2029,1716,264,Toufen City
,後龍鎮,15917,12934,514,,311,2062,96,Houlong Township
,卓蘭鎮,6060,5292,471,,24,236,37,Zhuolan Township
,大湖鄉,4959,4406,270,,161,100,22,Dahu Township
,公館鄉,12870,11341,643,,577,223,86,Gongguan Township
,銅鑼鄉,7122,6429,249,,268,120,56,Tongluo Township
,南庄鄉,3248,2882,154,,56,141,15,Nanzhuang Township
,頭屋鄉,4095,3690,108,,159,111,27,Touwu Township
,三義鄉,6167,5570,272,,88,176,61,Sanyi Township
,西湖鄉,1994,1875,16,,35,52,16,Xihu Township
,造橋鄉,5501,4788,102,,235,299,77,Zaoqiao Township
,三灣鄉,2142,1973,44,,69,49,7,Sanwan Township
,獅潭鄉,1146,1062,10,,39,33,2,Shitan Township
,泰安鄉,1246,1127,46,,35,34,4,Tai'an Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
