,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 苗栗縣有人經常居住住宅之居住人數,,Table 44 Miaoli County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 苗栗縣有人經常居住住宅之居住人數,表４４,苗栗縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Miaoli County Number of Persons of Occupied Housing Units,Table 44,Miaoli County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,苗栗縣,145723,29823,36653,29493,,23999,11628,14127,3.4,Miaoli County,,,
,苗栗市,25612,5968,6929,4761,,4391,1889,1674,3.3,Miaoli City,,,
,苑裡鎮,11289,2203,2934,2062,,1706,921,1463,3.4,Yuanli Township,,,
,通霄鎮,7288,1740,2022,1337,,882,525,782,3.3,Tongxiao Township,,,
,竹南鎮,24728,5137,5426,5750,,4681,1915,1819,3.6,Zhunan Township,,,
,頭份市,31549,5097,7241,6949,,6161,2661,3440,3.2,Toufen City,,,
,後龍鎮,8331,1678,2063,1518,,1191,741,1140,3.5,Houlong Township,,,
,卓蘭鎮,4045,959,1239,860,,406,202,379,3.2,Zhuolan Township,,,
,大湖鄉,3139,867,807,520,,415,231,299,3.5,Dahu Township,,,
,公館鄉,8374,1635,2340,1751,,1237,637,774,3.3,Gongguan Township,,,
,銅鑼鄉,4589,902,1241,819,,681,424,522,3.4,Tongluo Township,,,
,南庄鄉,2140,608,601,348,,227,141,215,3.3,Nanzhuang Township,,,
,頭屋鄉,2516,491,645,521,,350,238,271,3.5,Touwu Township,,,
,三義鄉,3949,696,1013,785,,624,383,448,3.5,Sanyi Township,,,
,西湖鄉,1389,343,393,250,,149,111,143,3.2,Xihu Township,,,
,造橋鄉,3380,627,854,673,,498,359,369,3.3,Zaoqiao Township,,,
,三灣鄉,1359,278,333,232,,194,125,197,3.5,Sanwan Township,,,
,獅潭鄉,944,279,302,173,,91,43,56,2.8,Shitan Township,,,
,泰安鄉,1102,315,270,184,,115,82,136,2.4,Tai'an Township,,,
