,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 苗栗縣住宅之樓地板面積,,Table 39 Miaoli County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 苗栗縣住宅之樓地板面積,表３９,苗栗縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Miaoli County Total Floor Area of Housing Units,Table 39,Miaoli County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,苗栗縣,190106,16616,53226,,59561,54563,6140,152.19999999999999,Miaoli County,,
,苗栗市,33611,3725,8989,,10166,9990,741,147.19999999999999,Miaoli City,,
,苑裡鎮,15154,988,3288,,4967,4993,918,170.4,Yuanli Township,,
,通霄鎮,9758,398,2393,,3150,3414,403,168.7,Tongxiao Township,,
,竹南鎮,32188,2705,12686,,9415,6848,534,135.69999999999999,Zhunan Township,,
,頭份市,38304,2456,10564,,12567,11866,851,153.6,Toufen City,,
,後龍鎮,11966,1055,2939,,4073,3414,485,156.6,Houlong Township,,
,卓蘭鎮,5151,693,1128,,1487,1556,287,160.19999999999999,Zhuolan Township,,
,大湖鄉,4371,597,1184,,1152,1193,245,153.19999999999999,Dahu Township,,
,公館鄉,10668,592,2726,,3692,3241,417,159.9,Gongguan Township,,
,銅鑼鄉,5636,497,1178,,1738,1838,385,170.3,Tongluo Township,,
,南庄鄉,3282,655,1069,,712,742,104,133.6,Nanzhuang Township,,
,頭屋鄉,3294,339,754,,1315,748,138,153,Touwu Township,,
,三義鄉,5648,546,1348,,1756,1783,215,157.19999999999999,Sanyi Township,,
,西湖鄉,1947,221,514,,493,608,111,161.6,Xihu Township,,
,造橋鄉,4250,285,910,,1718,1208,129,156.69999999999999,Zaoqiao Township,,
,三灣鄉,1960,247,509,,505,599,100,156.19999999999999,Sanwan Township,,
,獅潭鄉,1556,249,486,,396,357,68,142.1,Shitan Township,,
,泰安鄉,1362,368,561,,259,165,9,103.1,Tai'an Township,,
